id,brand,color_name,color_code,finish_type,texture_code,image_url,source_image_url,notes
MEL-EGG-030,Egger,Grey Vicenza Oak,H3158,textured_tfl,ST12,/melamines/MEL-EGG-030.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/H3158.jpg,via Decotec
MEL-EGG-031,Egger,Grey Nebraska Oak,H3332,textured_tfl,ST10,/melamines/MEL-EGG-031.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/h3332.jpg,via Decotec
MEL-EGG-032,Egger,Natural Bardolino Oak,H1145,textured_tfl,ST10,/melamines/MEL-EGG-032.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/h1145.jpg,via Decotec
MEL-EGG-033,Egger,Grey Bardolino Oak,H1146,textured_tfl,ST10,/melamines/MEL-EGG-033.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/h1146.jpg,via Decotec
MEL-EGG-034,Egger,Natural Aragon Oak,H1372,textured_tfl,ST22,/melamines/MEL-EGG-034.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/H1372.jpg,via Decotec
MEL-EGG-035,Egger,Oiled Kendal Oak,H3171,textured_tfl,ST12,/melamines/MEL-EGG-035.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/05/H3171-Oiled-Kendal-Oak-ST12-.jpg,via Decotec
MEL-EGG-036,Egger,White Casella Oak,H1384,textured_tfl,ST40,/melamines/MEL-EGG-036.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/05/H1384-White-Casella-Oak-ST40-.jpg,via Decotec
MEL-EGG-037,Egger,Sand Casella Oak,H1388,textured_tfl,ST40,/melamines/MEL-EGG-037.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/11/H1388-e1731433284155.jpg,via Decotec
MEL-EGG-038,Egger,Light Natural Casella Oak,H1367,textured_tfl,ST40,/melamines/MEL-EGG-038.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/05/H1367-Light-Natural-Casella-Oak.jpg,via Decotec
MEL-EGG-039,Egger,Natural Casella Oak,H1385,textured_tfl,ST40,/melamines/MEL-EGG-039.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/05/H1385-Natural-Casella-Oak-ST40-1-2-e1732569793690.jpg,via Decotec
MEL-EGG-040,Egger,Brown Casella Oak,H1386,textured_tfl,ST40,/melamines/MEL-EGG-040.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/05/H1386-Brown-Casella-Oak-ST40--e1732569747330.jpg,via Decotec
MEL-EGG-041,Egger,Marone Casella Oak,H1369,textured_tfl,ST40,/melamines/MEL-EGG-041.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2026/02/H1369_Marone-Casella-Oak-1.png,via Decotec
MEL-EGG-042,Egger,Black Casella Oak,H1366,textured_tfl,ST40,/melamines/MEL-EGG-042.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2026/04/H1366_1300x2800_10DE-scaled-e1777303842685.jpg,via Decotec
MEL-EGG-043,Egger,Brown Orleans Oak,H1379,textured_tfl,ST36,/melamines/MEL-EGG-043.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/08/H1379-Brown-Orealns-Oak-ST36.jpg,via Decotec
MEL-EGG-044,Egger,Fabric Anthracite Metal,F461,textured_tfl,ST10,/melamines/MEL-EGG-044.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/F461.jpg,via Decotec
MEL-EGG-045,Egger,Black Gold Metal Slate,F629,textured_tfl,ST16,/melamines/MEL-EGG-045.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/F629.jpg,via Decotec
MEL-EGG-046,Egger,Premium White,W1000,textured_tfl,ST38,/melamines/MEL-EGG-046.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/W1000.jpg,via Decotec
MEL-EGG-047,Egger,Black,U999,textured_tfl,ST19,/melamines/MEL-EGG-047.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2023/01/U999-Black-ST19-Cropped-e1673385187869.jpg,via Decotec
MEL-EGG-048,Egger,White Chromix,F637,textured_tfl,ST10,/melamines/MEL-EGG-048.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/F637.jpg,via Decotec
MEL-EGG-049,Egger,Chromix Silver,F638,textured_tfl,ST10,/melamines/MEL-EGG-049.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/F638.jpg,via Decotec
MEL-EGG-050,Egger,Chromix Anthracite,F641,textured_tfl,ST10,/melamines/MEL-EGG-050.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/F641.jpg,via Decotec
MEL-EGG-051,Egger,White Tossini Elm,H1701,textured_tfl,ST12,/melamines/MEL-EGG-051.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/08/H1701-White-Tossini-Elm-ST33.jpg,via Decotec
MEL-EGG-052,Egger,Natural Tossini Elm,H1213,textured_tfl,ST12,/melamines/MEL-EGG-052.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/h1213.jpg,via Decotec
MEL-EGG-053,Egger,Grey Beige Tossini Elm,H1210,textured_tfl,ST12,/melamines/MEL-EGG-053.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/08/H1210-Grey-Beige-Tossini-Elm-ST33.jpg,via Decotec
MEL-EGG-054,Egger,White Cape Elm,H3760,textured_tfl,ST10,/melamines/MEL-EGG-054.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/h3760.jpg,via Decotec
MEL-EGG-055,Egger,Anthracite Mountain Larch,H3406,textured_tfl,ST38,/melamines/MEL-EGG-055.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/h3406.jpg,via Decotec
MEL-EGG-056,Egger,White Havana Pine,H3078,textured_tfl,ST22,/melamines/MEL-EGG-056.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/h3078.jpg,via Decotec
MEL-EGG-057,Egger,Black Havana Pine,H3081,textured_tfl,ST22,/melamines/MEL-EGG-057.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/h3081.jpg,via Decotec
MEL-EGG-058,Egger,White Gladstone Oak,H3335,textured_tfl,ST28,/melamines/MEL-EGG-058.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/08/h3335.jpg,via Decotec
MEL-EGG-059,Egger,Sand Gladstone Oak,H3309,textured_tfl,ST28,/melamines/MEL-EGG-059.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/08/H3309-Sand-Gladstone-Oak-ST28.jpg,via Decotec
MEL-EGG-060,Egger,Grey Beige Gladstone Oak,H3326,textured_tfl,ST28,/melamines/MEL-EGG-060.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/h3326.jpg,via Decotec
MEL-EGG-061,Egger,Tobacco Gladstone Oak,H3325,textured_tfl,ST28,/melamines/MEL-EGG-061.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/h3325.jpg,via Decotec
MEL-EGG-062,Egger,Shorewood,H3090,textured_tfl,ST22,/melamines/MEL-EGG-062.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/08/H3090-Shorewood-ST22.jpg,via Decotec
MEL-EGG-063,Egger,Sand Lyon Ash,H1298,textured_tfl,ST22,/melamines/MEL-EGG-063.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/h1298.jpg,via Decotec
MEL-EGG-064,Egger,Sand Beige Molina Ash,H1267,textured_tfl,ST22,/melamines/MEL-EGG-064.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/h1267.jpg,via Decotec
MEL-EGG-065,Egger,Soft Beige,U220,textured_tfl,ST9,/melamines/MEL-EGG-065.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2026/02/U220-Soft-Beige.png,via Decotec
MEL-EGG-066,Egger,Cashmere Grey,U702,textured_tfl,ST9,/melamines/MEL-EGG-066.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/05/U702-Cashmere-Grey-ST9.jpg,via Decotec
MEL-EGG-067,Egger,Pebble Grey,U201,textured_tfl,ST9,/melamines/MEL-EGG-067.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/U201-Pebble-Grey-ST9-e1715016847378.jpg,via Decotec
