sub_assembly,sequence,type,cost_type,assembly_code,description,unit_cost,qty,width_in,depth_in,height_in,unit_price,line_total,notes
Base Toekick,57,Labor,Finishing,,LABOR FINISH PREP,25.00,,,,,,
Base Toekick,58,Labor,Finishing,,LABOR FINISH PREP,25.00,,84,,,92.3975,,
Base Toekick,SUBTOTAL,,,,Base Toekick,16.7085,1.0000,32.25,,4,33.8170,33.8170,
Face Frame Material/Labor RSL,59,Material,Fabrication,,BID_1F 4/4 PS Maple,5.40,1.3203,2.25,1,32.5,8.5433,11.2798,
Face Frame Material/Labor RSL,60,Material,Fabrication,,BID_1F 4/4 PS Maple,5.40,2.2547,2.25,1,27.75,8.5433,19.2627,
Face Frame Material/Labor RSL,61,Material,Fabrication,,BID_1F 4/4 PS Maple,5.40,,2.25,1,28,8.5433,,
Face Frame Material/Labor RSL,62,Labor,Fabrication,,LABOR RIP SAW,25.00,0.0323,129,,65,92.3975,2.9844,1.94 min
Face Frame Material/Labor RSL,63,Labor,Fabrication,,LABOR MOULDER,25.00,0.0294,129,,65,92.3975,2.7165,1.76 min
Face Frame Material/Labor RSL,64,Labor,Fabrication,,LABOR CUSTOM 2 (CASTORS & SILLS),35.00,0.8333,20,,,129.3565,107.7928,50 min - higher rate
Face Frame Material/Labor RSL,65,Labor,Finishing,,LABOR FINISH PREP,25.00,0.1684,129,0,65,92.3975,15.5597,10.1 min
Face Frame Material/Labor RSL,SUBTOTAL,,,,Face Frame Material/Labor RSL,20.8475,1.0000,32.25,.75,32.5,26.2434,26.2434,
Drawer Front - Dwr Bank,66,Material,Fabrication,,BID_1F Buyout Door & Drawer Front PG Maple Ra,18.50,2.4262,32.25,,0.8333,29.2689,71.0121,
Drawer Front - Dwr Bank,67,Material,Fabrication,,WILSONART 38 and 60 FINISH VG 4x8,1.3700,,32.25,,0.8333,2.1675,,
Drawer Front - Dwr Bank,68,Material,Fabrication,,WILSONART 3173 PEARL CABINET LINER 4x8,0.6460,,32.25,,0.8333,1.0220,,
Drawer Front - Dwr Bank,69,Material,Fabrication,,BID_1A Custom Stocked PVC Tape 3mm x 15/16,0.3320,,,,,0.5253,,
Drawer Front - Dwr Bank,70,Hardware,Fabrication,,Allowance_0_Pull $20.00,20.00,1.0000,,,,,31.6420,pull allowance
Drawer Front - Dwr Bank,71,Hardware,Fabrication,,BUMPERS CLEAR 7.9mm x 2.2mm,0.0387,2.0000,,,,,0.1225,
Drawer Front - Dwr Bank,72,Labor,Fabrication,,LABOR PANEL LAYUP,25.00,0.0122,,,,,1.1272,0.73 min
Drawer Front - Dwr Bank,73,Labor,Fabrication,,LABOR BEAM SAW,25.00,0.0076,,,,,0.7022,0.46 min
Drawer Front - Dwr Bank,74,Labor,Fabrication,,LABOR EDGEBANDER 1,25.00,,7.1806,,0.8333,92.3975,,
Drawer Front - Dwr Bank,75,Labor,Fabrication,,LABOR BRIMA/EKO,25.00,0.0121,,,,,1.1180,0.73 min
Drawer Front - Dwr Bank,76,Labor,Fabrication,Metal DwrBox,LABOR FINAL ASMB 3 DR/DWR CABS,25.00,0.0333,,,,,3.0768,2.0 min
Drawer Front - Dwr Bank,77,Labor,Fabrication,,LABOR FINAL ASMB 3 DR/DWR CABS,25.00,0.2000,,,,,18.4795,12.0 min
Drawer Front - Dwr Bank,78,Labor,Finishing,,LABOR FINISH PREP,25.00,0.0506,,,,,4.6753,3.04 min
Drawer Front - Dwr Bank,79,InstLabor,Installation,PULL,LABOR INSTALLATION - PULLS,45.00,0.0400,2,,,112.9050,4.5162,2.4 min install
Drawer Front - Dwr Bank,SUBTOTAL,,,,Drawer Front - Dwr Bank,73.3297,3.0000,32.25,.75,8333,131.5657,394.6970,qty=3 fronts
Drawer Box - Bank,80,Material,Fabrication,,BID_1T 1/2 Prefinished Maple Plywood,2.8500,2.9333,22,,8,4.5090,13.2262,
Drawer Box - Bank,81,Material,Fabrication,,BID_1T 3/4 Prefinished Maple Plywood,3.2500,3.8333,28.75,,8,5.1418,19.7102,
